agreement_id,customer_id,sku,tier_min_qty,tier_max_qty,contracted_price,effective_date,expiry_date,discount_pct,currency,status
AGR-0042,CUST-1073,CHIP-MPF-0015,50,249,10.49,2024-02-29,2025-07-30,0.1143,USD,Expired
AGR-0017,CUST-1005,CHIP-PIC18-0006,1,9,13.77,2024-05-13,2025-05-19,0.05,USD,Active
AGR-0049,CUST-1048,CHIP-MCP-0003,25,99,5.13,2023-07-16,2025-02-26,0.1088,USD,Active
AGR-0036,CUST-1053,CHIP-WBZ-0016,250,499,20.85,2024-05-23,2025-08-26,0.2642,USD,Active
AGR-0043,CUST-1079,CHIP-WBZ-0016,250,499,29.23,2024-01-11,2024-11-22,0.05,USD,Active
AGR-0005,CUST-1009,CHIP-dsPIC-0015,1,249,14.75,2024-06-07,2025-12-20,5.0,JPY,Active
AGR-0042,CUST-1073,CHIP-MPF-0015,5000,9999,7.6,2024-02-29,2025-07-30,0.3581,USD,Expired
AGR-0036,CUST-1053,CHIP-WBZ-0016,500,2499,20.34,2024-05-23,2025-08-26,0.2824,USD,Active
AGR-0026,CUST-1017,CHIP-dsPIC-0007,500,9999,7.72,2024-10-22,2026-02-10,0.0879,USD,Active
AGR-0015,CUST-1037,CHIP-dsPIC-0011,5000,9999,23.31,2023-10-15,2024-05-27,0.2729,USD,Active
AGR-0008,CUST-1029,CHIP-PIC32-0003,500,4999,8.09,2024-11-01,2026-10-21,0.1146,USD,Active
AGR-0023,CUST-1020,CHIP-MPF-0009,1000,2499,6.66,2024-11-20,2026-07-13,0.2049,USD,Expired
AGR-0032,CUST-1043,CHIP-dsPIC-0001,250,999,29.76,2024-05-10,2026-04-09,0.144,EUR,Active
AGR-0045,CUST-1071,CHIP-MCP-0002,50,99,9.41,2023-09-28,2024-10-22,0.1823,USD,Active
AGR-0045,CUST-1071,CHIP-MCP-0002,100,999,8.49,2023-09-28,2024-10-22,0.2625,USD,Active
AGR-0004,CUST-1063,CHIP-PIC18-0006,25,49,12.45,2024-09-16,2025-04-26,0.0972,USD,Expired
AGR-0037,CUST-1041,CHIP-WBZ-0015,10,49,2.78,2024-02-01,2025-04-04,0.085,USD,Pending
AGR-0009,CUST-1002,CHIP-WBZ-0016,5000,9999,21.33,2024-08-22,2025-04-03,0.2004,USD,Expired
AGR-0018,CUST-1053,CHIP-MCP-0007,250,499,7.62,2024-08-31,2025-04-11,0.2311,USD,Pending
AGR-0039,CUST-1077,CHIP-MPF-0012,25,499,11.37,2024-11-29,2025-07-05,0.1236,JPY,Active
AGR-0049,CUST-1048,CHIP-MCP-0003,100,2499,4.68,2023-07-16,2025-02-26,0.1873,USD,Active
AGR-0013,CUST-1072,CHIP-WBZ-0002,2500,4999,17.5,2023-08-04,2024-05-23,0.1941,EUR,Active
AGR-0015,CUST-1037,CHIP-dsPIC-0011,1000,4999,27.89,2023-10-15,2024-05-27,0.1302,USD,Active
AGR-0015,CUST-1037,CHIP-dsPIC-0011,500,999,27.98,2023-10-15,2024-05-27,12.72,USD,Active
AGR-0038,CUST-1027,CHIP-MPF-0004,50,99,4.96,2024-12-15,2025-11-21,0.05,USD,Pending
AGR-0026,CUST-1017,CHIP-dsPIC-0007,100,499,8.04,2024-10-22,2026-02-10,0.05,USD,Active
AGR-0032,CUST-1043,CHIP-dsPIC-0001,25,99,30.97,2024-05-10,2026-04-09,0.1092,EUR,Active
AGR-0021,CUST-1055,CHIP-WBZ-0001,2500,9999,27.03,2024-10-15,2025-11-03,0.2357,USD,Pending
AGR-0007,CUST-1009,CHIP-PIC32-0002,250,999,5.22,2024-08-07,2026-07-08,0.0877,USD,Active
AGR-0027,CUST-9901,CHIP-PIC32-0004,25,99,51.11,2023-12-26,2025-06-06,0.05,USD,Active
AGR-0005,CUST-1009,CHIP-dsPIC-0015,250,4999,13.76,2024-06-07,2025-12-20,0.1139,JPY,Active
AGR-0012,CUST-1039,CHIP-MPF-0010,49,25,16.89,2024-09-23,2026-06-24,0.05,USD,Pending
AGR-0032,CUST-1043,CHIP-dsPIC-0001,1,24,33.03,2024-05-10,2026-04-09,0.05,EUR,Active
AGR-0045,CUST-1071,CHIP-MCP-0002,1000,9999,8.22,2023-09-28,2024-10-22,28.57,USD,Active
AGR-0028,CUST-1046,CHIP-MPF-0011,100,999,23.45,2024-05-01,2025-09-13,0.05,USD,Active
AGR-0013,CUST-1072,CHIP-WBZ-0002,25,49,20.63,2023-08-04,2024-05-23,0.05,EUR,Active
AGR-0030,CUST-1006,CHIP-PIC18-0010,2500,4999,16.18,2024-06-09,2025-01-21,0.2378,USD,Active
AGR-0023,CUST-1020,CHIP-MPF-0009,2500,9999,6.86,2026-07-13,2024-11-20,18.11,USD,Expired
AGR-0011,CUST-1076,CHIP-PIC18-0010,50,249,19.27,2023-09-02,2024-10-13,0.1939,EUR,Pending
AGR-0047,CUST-1022,CHIP-MCP-0004,10,24,20.42,2024-06-19,2025-03-08,0.05,USD,Expired
AGR-0047,CUST-1022,CHIP-MCP-0004,25,49,19.53,2024-06-19,2025-03-08,9.11,USD,Expired
AGR-0001,CUST-9901,CHIP-MCP-0009,50,249,18.01,2024-08-20,2026-04-02,0.1065,USD,Active
AGR-0050,CUST-1038,CHIP-PIC18-0002,25,99,2.06,2024-04-05,2025-02-25,0.1048,GBP,Active
AGR-0034,CUST-1044,CHIP-WBZ-0012,50,2499,4.88,2024-07-25,2026-06-18,0.2057,USD,Pending
AGR-0039,CUST-1077,CHIP-MPF-0012,500,999,11.5,2024-11-29,2025-07-05,0.1137,JPY,Active
AGR-0041,CUST-1036,CHIP-MPF-0014,100,499,4.14,2023-12-08,2024-06-19,0.1577,USD,Expired
AGR-0025,CUST-1076,CHIP-dsPIC-0008,5000,9999,0.74,2023-11-05,2024-10-25,0.1867,USD,Expired
AGR-0033,CUST-1034,CHIP-MPF-0012,25,49,11.24,2023-07-23,2025-05-24,0.0895,USD,Expired
AGR-0035,CUST-1062,CHIP-PIC32-0006,50,99,12.76,2024-12-11,2026-06-06,0.1271,USD,Pending
AGR-0041,CUST-1036,CHIP-MPF-0014,25,49,4.67,2023-12-08,2024-06-19,0.05,USD,Expired
AGR-0021,CUST-1055,CHIP-WBZ-0001,250,999,30.96,2024-10-15,2025-11-03,0.1246,USD,Pending
AGR-0025,CUST-1076,CHIP-dsPIC-0008,10,4999,0.81,2023-11-05,2024-10-25,0.1088,USD,Expired
AGR-0023,CUST-1020,CHIP-MPF-0009,250,999,7.31,2024-11-20,2026-07-13,0.1282,USD,Expired
AGR-0043,CUST-1079,CHIP-WBZ-0016,1000,2499,25.29,2024-01-11,2024-11-22,0.178,USD,Active
AGR-0037,CUST-1041,CHIP-WBZ-0015,1,9,2.89,2024-02-01,2025-04-04,0.05,USD,Pending
AGR-0034,CUST-1044,CHIP-WBZ-0012,25,49,5.51,2024-07-25,2026-06-18,0.1039,USD,Pending
AGR-0032,CUST-1043,CHIP-dsPIC-0001,100,249,28.42,2024-05-10,2026-04-09,0.1825,EUR,Active
AGR-0019,CUST-1047,CHIP-dsPIC-0010,25,4999,4.39,2023-10-08,2024-06-12,0.0986,USD,Expired
AGR-0048,CUST-1028,CHIP-PIC32-0002,10,499,5.13,2024-09-14,2026-03-02,0.1097,USD,Active
AGR-0030,CUST-1006,CHIP-PIC18-0010,500,2499,17.0,2024-06-09,2025-01-21,0.1991,USD,Active
AGR-0027,CUST-9901,CHIP-PIC32-0004,100,249,49.17,2023-12-26,2025-06-06,0.0861,USD,Active
AGR-0003,CUST-1054,CHIP-MCP-0010,250,4999,26.02,2024-04-19,2025-03-19,0.1387,USD,Active
AGR-0047,CUST-1022,CHIP-MCP-0004,250,9999,15.55,2024-06-19,2025-03-08,0.2764,USD,Expired
AGR-0001,CUST-9901,CHIP-MCP-0009,25,49,19.15,2024-08-20,2026-04-02,0.05,USD,Active
AGR-0003,CUST-1054,CHIP-MCP-0010,1,99,28.7,2024-04-19,2025-03-19,0.05,USD,Active
AGR-0003,CUST-1054,CHIP-MCP-0010,5000,9999,21.55,2024-04-19,2025-03-19,28.66,USD,Active
AGR-0002,CUST-1006,CHIP-dsPIC-0005,25,999,10.48,2024-01-28,2024-11-08,0.109,USD,Active
