sku,product_family,series_name,package_type,pin_count,flash_kb,unit_cost_usd,list_price_usd,lifecycle_status,launch_date,lead_time_weeks
CHIP-WBZ-0012,Wireless,WBZ-T882,QFN,32,256,2.94,7.4,Active,2017-10-13,6
CHIP-WBZ-0008,Wireless,WBZ-G403,BGA,64,512,13.13,45.26,Active,2018-03-05,6
CHIP-WBZ-0014,mcu8,WBZ-J776,BGA,32,1024,17.29,25.47,Obsolete,2022-01-06,10
CHIP-MCP-0009,Analog,MCP-C390,MSOP,10,,8.12,22.49,Active,2023-11-26,8
CHIP-PIC18-0005,MCU8,PIC18-T400,QFP,40,64,14.59,42.19,Active,2019-03-31,6
CHIP-MPF-0010,FPGA,MPF-W170,BGA,256,256,8.62,25.3,Active,2018-12-04,10
CHIP-MCP-0008,Analog,MCP-G540,DFN,5,N/A,11.19,21.56,Active,2015-01-02,12
CHIP-dsPIC-0008,MCU16,dsPIC-C626,QFP,40,64,1.56,0.97,Active,2015-05-09,14
CHIP-WBZ-0011,Wireless,WBZ-N603,VQFN,56,256,17.39,31.62,New,2016-04-12,6
CHIP-PIC18-0008,MCU8,PIC18-H801,DIP,40,32,9.75,17.56,Active,2018-01-10,26
CHIP-PIC18-0010,MCU8,PIC18-H862,QFP,14,128,7.3,24.15,Active,2017-12-20,8
CHIP-MPF-0011,FPGA,MPF-E584,FBGA,100,256,17.11,29.06,Active,2016-09-16,10
CHIP-dsPIC-0012,MCU16,dsPIC-D151,QFP,64,64,5.23,9.48,New,2019-12-21,26
CHIP-PIC32-0009,MCU32,PIC32-T136,QFN,144,2048,12.79,32.13,Active,2022-10-01,8
CHIP-WBZ-0001,Wireless,WBZ-J561,VQFN,64,512,14.92,38.54,Active,2017-10-02,6
CHIP-dsPIC-0002,MCU16,dsPIC-S208,TQFP,40,128,0.36,1.03,NRND,2020-08-12,8
CHIP-MCP-0004,Analog,MCP-N690,SOT-23,14,,7.99,23.08,Active,2021-10-19,26
CHIP-MCP-0012,Analog,MCP-H280,DFN,10,N/A,7.37,11.66,NRND,2023-06-03,6
CHIP-PIC18-0001,MCU8,PIC18-C704,DIP,44,64,4.63,7.24,Active,2023-04-22,26
CHIP-dsPIC-0005,MCU16,dsPIC-E775,SOIC,28,256,8.9,12.51,Obsolete,2023-08-03,8
CHIP-dsPIC-0001,MCU16,dsPIC-D400,QFN,28,256,13.06,36.36,Active,2017-12-28,14
CHIP-MPF-0016,FPGA,MPF-V927,BGA,256,4096,12.82,28.59,NRND,2022-04-18,12
CHIP-WBZ-0009,Mcu16,WBZ-T399,QFN,56,256,5.65,16.06,Active,2015-07-06,4
CHIP-PIC18-0009,MCU8,PIC18-U997,QFP,8,32,14.85,45.46,Active,2015-09-29,10
CHIP-MPF-0008,FPGA,MPF-E987,BGA,144,256,16.35,42.21,NRND,2015-12-10,16
CHIP-MPF-0007,FPGA,MPF-Z269,FBGA,144,4096,4.18,9.32,Active,2018-10-08,16
CHIP-dsPIC-0003,WIRELESS,dsPIC-V431,QFN,40,64,6.92,11.17,New,2020-12-12,4
CHIP-PIC18-0002,MCU8,PIC18-Y765,QFN,8,16,1.96,3.48,NRND,2021-04-17,10
CHIP-MCP-0011,Analog,MCP-Y813,SOIC,10,,11.12,33.13,Active,2022-01-23,52
CHIP-dsPIC-0013,MCU16,dsPIC-F488,SOIC,28,64,3.24,7.59,Active,2019-07-01,4
CHIP-WBZ-0010,Wireless,WBZ-R590,BGA,48,1024,15.67,36.89,New,2021-06-09,12
CHIP-dsPIC-0014,analog,dsPIC-X835,SOIC,64,128,16.7,50.38,Active,2022-10-24,26
CHIP-dsPIC-0007,MCU16,dsPIC-A702,TQFP,44,128,16.22,11.48,Active,2015-09-20,14
CHIP-MCP-0006,Analog,MCP-D837,SOIC,8,,7.93,26.84,New,2021-12-27,14
CHIP-MCP-0007,Analog,MCP-G530,MSOP,14,,5.77,12.51,Active,2018-04-26,26
CHIP-MCP-0001,Analog,MCP-H328,DFN,3,N/A,15.5,27.13,Obsolete,2020-02-29,14
CHIP-WBZ-0005,Wireless,WBZ-R666,QFN,32,512,4.22,11.84,Active,2021-07-10,14
CHIP-PIC18-0007,MCU8,PIC18-X373,DIP,28,64,8.33,26.05,Active,2018-12-26,10
CHIP-dsPIC-0009,MCU16,dsPIC-R348,QFP,44,256,8.89,21.9,NRND,2021-05-27,52
CHIP-dsPIC-0010,MCU16,dsPIC-Z155,TQFP,64,64,1.97,5.38,Active,2019-08-11,20
CHIP-dsPIC-0015,MCU16,dsPIC-Z421,TQFP,40,64,5.55,19.03,Active,2021-01-29,4
CHIP-dsPIC-0011,MCU16,dsPIC-T559,SOIC,28,128,13.19,40.25,Active,2017-02-23,10
CHIP-MPF-0003,FPGA,MPF-J443,QFP,256,4096,11.39,21.27,Active,2018-03-16,10
CHIP-WBZ-0004,Wireless,WBZ-Q911,QFN,48,1024,7.49,18.72,Active,2020-05-04,20
CHIP-PIC32-0005,MCU32,PIC32-F548,QFN,100,256,16.82,54.36,New,2019-02-22,12
CHIP-MCP-0002,Analog,MCP-W621,SOT-23,5,N/A,7.35,13.79,Active,2023-09-03,12
CHIP-PIC32-0001,MCU32,PIC32-F170,QFP,144,2048,16.57,40.51,Active,2020-09-11,6
CHIP-PIC32-0011,MCU32,PIC32-H985,QFN,44,512,14.11,45.71,Active,2021-12-17,8
CHIP-MPF-0004,fpga,MPF-P517,BGA,100,512,2.97,6.27,Active,2017-05-26,6
CHIP-WBZ-0013,Wireless,WBZ-K682,VQFN,48,1024,7.03,23.16,Active,2021-08-07,16
CHIP-PIC32-0002,MCU32,PIC32-V183,QFP,64,1024,2.42,7.87,Active,2021-09-01,0
CHIP-WBZ-0002,Wireless,WBZ-R317,QFN,64,1024,11.1,23.34,Active,2018-08-24,8
CHIP-PIC32-0007,MCU32,PIC32-S600,QFN,100,512,11.01,31.54,Active,2022-02-10,12
CHIP-PIC32-0004,MCU32,PIC32-D175,TQFP,144,512,16.74,56.17,Active,2021-12-19,52
CHIP-MPF-0015,FPGA,MPF-R208,QFP,256,4096,12.01,16.88,NRND,2015-02-21,16
CHIP-PIC18-0006,MCU8,PIC18-H987,QFP,40,32,11.49,14.69,Active,2018-03-31,6
CHIP-MPF-0012,FPGA,MPF-Z835,FBGA,100,512,8.53,15.58,Active,2021-10-17,52
CHIP-WBZ-0007,Wireless,WBZ-G321,QFN,32,1024,3.71,5.64,Active,2023-07-19,8
CHIP-WBZ-0016,Wireless,WBZ-J906,QFN,48,512,12.81,36.27,Active,2022-09-16,10
