region,product_family,fiscal_quarter,revenue_target_usd,units_target,asp_target,growth_pct_yoy
APAC,MCU8,FY2025-Q1,"3,408,643",262809,12.97,-1.3
EMEA,Wireless,Q4-FY2025,1672224,488954,3.42,12.2
EMEA,FPGA,FY2025-Q2,820202,107496,7.63,-7.8
Japan,MCU16,FY2024-Q2,1493266,146112,10.22,-2.2
EMEA,MCU16,Q3-FY2025,"1,444,348",237557,6.08,29.2
EMEA,MCU16,FY2025-Q2,4703197,354156,13.28,9.8
EMEA,MCU32,Q1-FY2025,"3,079,323",459600,6.7,24.1
EMEA,MCU16,Q2-FY2024,2384813,336362,7.09,18.0
Americas,Wireless,Q2-FY2024,"1,567,714",108642,14.43,19.8
EMEA,Memory,Q2-FY2025,"1,250,000",125000,10.0,5.0
EMEA,FPGA,Q3-FY2025,502440,40948,12.27,32.0
Japan,MCU8,Q1-FY2025,552669,155681,3.55,4.3
APAC,Wireless,Q4-FY2025,1322573,707258,1.87,6.6
Japan,MCU8,Q3-FY2024,798408,136480,5.85,28.9
Americas,Analog,FY2024-Q1,3788447,313872,12.07,6.4
Americas,MCU32,Q4-FY2024,"283,557",61642,4.6,-0.1
APAC,MCU32,FY2025-Q1,4550037,552188,8.24,17.0
EMEA,MCU32,Q2-FY2025,"4,454,141",394870,11.28,-3.4
Japan,Wireless,FY2024-Q1,1690331,183731,9.2,12.6
Japan,Analog,2024Q3,"991,559",69242,14.32,-2.2
APAC,FPGA,Q1-FY2025,2448209,612052,4.0,31.5
Japan,FPGA,FY2024-Q2,3852737,435829,8.84,14.1
Americas,MCU16,Q3-FY2025,1537840,367026,4.19,-4.0
APAC,Analog,Q1-FY2025,1594271,972116,1.64,6.8
EMEA,FPGA,Q4-FY2025,2312412,212537,10.88,-2.0
APAC,FPGA,Q3-FY2024,1954922,534131,3.66,29.5
Americas,MCU8,Q3-FY2024,4889941,502563,9.73,2.6
APAC,FPGA,Q2-FY2024,3959732,482305,8.21,18.1
Americas,Analog,FY2025-Q3,"2,843,994",585183,4.86,23.7
Americas,MCU16,FY2025-Q4,2161031,1325785,1.63,-9.3
Americas,Analog,Q2-FY2025,3780829,1105505,3.42,11.5
APAC,Wireless,FY2024-Q3,347109,48546,7.15,29.9
Japan,MCU16,Q3-FY2025,4514865,2414366,1.87,20.1
Americas,FPGA,FY2025-Q3,"591,468",183685,3.22,3.3
Japan,MCU32,FY2025-Q1,2082819,189175,11.01,-2.9
EMEA,MCU8,Q2-FY2025,3669420,264558,13.87,1.7
Japan,FPGA,Q3-FY2024,270767,93367,2.9,16.2
EMEA,MCU16,2024Q4,1734081,123862,14.0,-7.7
Americas,FPGA,Q1-FY2025,2171220,1148793,1.89,2.2
APAC,MCU16,Q4-FY2024,2631830,481138,5.47,9.9
Japan,MCU16,Q4-FY2024,1708988,821628,2.08,7.0
Americas,Analog,FY2025-Q4,"1,966,719",870229,2.26,32.4
EMEA,Analog,2025Q4,"1,200,138",138424,8.67,33.5
Japan,FPGA,Q2-FY2025,4706643,2055302,2.29,3.9
EMEA,Analog,FY2024-Q4,"840,127",68750,12.22,-5.5
APAC,MCU8,Q4-FY2024,1677632,254572,6.59,4.4
Japan,MCU16,Q4-FY2025,1097322,243308,4.51,14.2
APAC,MCU8,Q2-FY2024,"1,571,954",878186,1.79,28.6
Japan,Wireless,Q4-FY2025,4599132,575611,7.99,27.4
